model,tuned,rmse,mae,r2,mape,smape,median_ape,params
hgb_log,False,869142.5222653294,590061.0690650947,0.7938413896899793,0.20810643026494918,0.12700408205432026,0.09458293538024097,{}
ridge,False,1020711.3542894423,738517.613841716,0.7156682397791041,0.25650837139133215,0.16175394393100273,0.12705690802928887,{}
ridge_log,False,1059948.000556234,762941.6802104035,0.6933883855745631,0.24627012317722552,0.16104381040308732,0.12329486307426182,{}
