sold_year,sold_month,median_sqm_price,factor_to_last
2009,8,29905.01822738665,1.7928247835751472
2009,9,29178.486997635933,1.8374653159935672
2009,10,28794.136191677175,1.8619922290574682
2009,11,24545.266639107067,2.184309448319594
2009,12,17365.867579908678,3.0873469226123884
2010,1,10022.222222222223,5.349557876739775
2010,2,23567.241693494503,2.27495684597341
2010,3,28693.181818181816,1.8685434808541097
2010,4,24069.767441860466,2.2274605669053025
2010,5,25645.551257253384,2.090594867449434
2010,6,24043.676848415642,2.2298776584521525
2010,7,24652.777777777777,2.174783641608688
2010,8,25782.915778251598,2.079456733770591
2010,9,25924.796747967477,2.068076303646574
2010,10,26058.723196881092,2.0574476126958627
2010,11,22941.176470588234,2.33704046957059
2010,12,24293.141592920354,2.206979184896775
2011,1,26398.43243943516,2.030971269007383
2011,2,22596.153846153848,2.372724942322481
2011,3,26253.62039535268,2.042173880171435
2011,4,25000.0,2.144578313253012
2011,5,24645.872526149447,2.17539296993604
2011,6,26191.01171278221,2.047055624245298
2011,7,26258.992805755395,2.04175606535732
2011,8,25203.252032520326,2.1272833268558102
2011,9,24465.152565880722,2.191462231308396
2011,10,26973.684210526317,1.9876579488686452
2011,11,25694.14893617021,2.0866407353874665
2011,12,27495.022399203583,1.9499696000567102
2012,1,30000.0,1.78714859437751
2012,2,25600.0,2.0943147590361444
2012,3,27139.26499032882,1.975530945677085
2012,4,25476.006191950466,2.104507960445763
2012,5,27300.20147750168,1.9638850605373523
2012,6,27087.824984147115,1.9792824954643882
2012,7,29191.767068273093,1.8366294067067928
2012,8,30129.262926292628,1.7794812293445805
2012,9,27869.684663162923,1.9237554525398282
2012,10,28863.636363636364,1.8575087752585144
2012,11,25227.272727272728,2.12525778790839
2012,12,27446.808510638297,1.9533949752498365
2013,1,28070.175438596492,1.9100150602409638
2013,2,27195.68567026194,1.9714324720980239
2013,3,28163.99073408419,1.903652729385429
2013,4,26986.723565670934,1.9866975589258553
2013,5,28421.052631578947,1.8864346273984829
2013,6,26796.47160068847,2.0008028904054593
2013,7,26356.58914728682,2.034195605953225
2013,8,32025.527192008878,1.6741163232030531
2013,9,30188.3830455259,1.7759963410584616
2013,10,30765.957446808512,1.74265526837641
2013,11,30869.565217391304,1.736806380451383
2013,12,32279.41176470588,1.6609490353212395
2014,1,34239.13043478261,1.5658825779307708
2014,2,30117.37089201878,1.7801838687563973
2014,3,34848.48484848485,1.538501833420639
2014,4,31351.858925388337,1.7100886412801823
2014,5,28105.5900621118,1.9076083338880383
2014,6,31958.76288659794,1.6776136805285657
2014,7,32382.55033557047,1.6556589050502528
2014,8,31907.136524822694,1.6803280917927257
2014,9,30200.376884422112,1.7752910182713841
2014,10,31030.534351145037,1.7277967960402496
2014,11,30961.53846153846,1.7316470852353514
2014,12,33085.10638297872,1.6205012977956843
2015,1,35455.882352941175,1.5121456377146913
2015,2,30728.436743534206,1.7447831231638136
2015,3,32500.0,1.64967562557924
2015,4,34943.21225758063,1.5343311151851562
2015,5,34020.61855670103,1.5759401241328952
2015,6,35200.0,1.5231380065717415
2015,7,33307.692307692305,1.6096719441275495
2015,8,34013.60544217687,1.5762650602409638
2015,9,35786.163522012575,1.4981895949351007
2015,10,31782.945736434107,1.6868939171319424
2015,11,37428.57142857143,1.4324473466384622
2015,12,35232.16114714919,1.5217476330050084
2016,1,34166.3704230359,1.569217249812903
2016,2,37340.425531914894,1.4358287852263756
2016,3,40000.0,1.3403614457831325
2016,4,42414.58333333333,1.264057161895778
2016,5,41388.326585695,1.2954004728921802
2016,6,40445.694444444445,1.3255912296170178
2016,7,40410.95890410959,1.3267306514192363
2016,8,42553.1914893617,1.2599397590361447
2016,9,36894.409937888195,1.4531864833069654
2016,10,38527.397260273974,1.3915930388219544
2016,11,41225.02774694783,1.3005317585333764
2016,12,40035.71428571429,1.3391657620670012
2017,1,44973.90873015873,1.1921235966615544
2017,2,41666.66666666667,1.286746987951807
2017,3,41571.969696969696,1.2896780744847272
2017,4,43882.96445338699,1.2217601636342326
2017,5,42410.71428571428,1.2641724793912492
2017,6,43141.592920353985,1.2427556379363607
2017,7,38563.8893331201,1.3902762080918847
2017,8,41729.32330827068,1.284814935417345
2017,9,42500.0,1.261516654854713
2017,10,45857.142857142855,1.1691626318357542
2017,11,45416.666666666664,1.1805018238089975
2017,12,48958.333333333336,1.0951038195334528
2018,1,45072.11538461538,1.1895261044176708
2018,2,43678.16091954023,1.2274889029803424
2018,3,43818.79543094497,1.2235493309216483
2018,4,42916.666666666664,1.2492689203415606
2018,5,44226.485148514854,1.2122703771571524
2018,6,41636.36363636364,1.2876834850318302
2018,7,44869.565217391304,1.194895862519847
2018,8,41370.967741935485,1.2959440099579604
2018,9,39939.0243902439,1.342407799135473
2018,10,42102.536997885836,1.2734258231046156
2018,11,38461.53846153846,1.393975903614458
2018,12,42666.666666666664,1.2565888554216869
2019,1,42901.234567901236,1.2497182976510357
2019,2,45081.96721311475,1.1892661555312158
2019,3,46750.0,1.1468333225951937
2019,4,39473.68421052631,1.3582329317269077
2019,5,40568.29511465603,1.3215851856677139
2019,6,42732.558139534885,1.254651258093599
2019,7,44595.03169879674,1.2022518157055582
2019,8,42870.58823529412,1.2506116673058865
2019,9,42997.19887955182,1.2469290844158394
2019,10,44849.00641527148,1.1954436032515787
2019,11,41302.842676752276,1.2980815449175547
2019,12,41721.85430463576,1.2850449416714478
2020,1,39473.68421052631,1.3582329317269077
2020,2,44934.21052631579,1.1931768067879132
2020,3,43125.0,1.2432338047843547
2020,4,45186.54336734694,1.1865138122087162
